_id,BUDGET_YEAR,BUDGET_MONTH_DESC,GROUP_NAME,DUTY_NAME,PRODUCT_NAME,TAX_NETTAX_AMT,UPDATE_DATE
1,2563,ตุลาคม,ภาษีสุรา,สุรา,สุรา,17873.6500,2569-08-01
2,2563,ตุลาคม,ภาษีสุรา,สุรากลั่น,ชนิดอื่นๆ นอกจาก (1) สุราสามทับ,3129088758.8500,2569-08-01
3,2563,ตุลาคม,ภาษีสุรา,สุรากลั่น,สุรากลั่นชนิดสุราขาว,2602493766.0900,2569-08-01
4,2563,ตุลาคม,ภาษีสุรา,สุรากลั่น,สุราสามทับกรณีอื่นๆ นอกจากไปใช้ในการอุตสาหกรรม ที่นำไปทำการแปลงสภาพ,314086.5900,2569-08-01
5,2563,ตุลาคม,ภาษีสุรา,สุรากลั่น,สุราสามทับที่นำไปทำการแปลงสภาพ ทั้งนี้ ตามหลักเกณฑ์ วิธีการและเงื่อนไขที่อธิบดีประกาศกำหนด,249486.3000,2569-08-01
6,2563,ตุลาคม,ภาษีสุรา,สุราแช่,สุราแช่ชนิดอื่นๆ,74628385.5800,2569-08-01
7,2563,ตุลาคม,ภาษีสุรา,สุราแช่,"สุราแช่ผลไม้ที่มีราคาขายปลีกแนะนำเกินกว่า 1,000 บาท",4208674.0000,2569-08-01
8,2563,ตุลาคม,ภาษีสุรา,สุราแช่,"สุราแช่ผลไม้ที่มีราคาขายปลีกแนะนำไม่เกิน 1,000 บาท",54103443.9500,2569-08-01
9,2563,ตุลาคม,ภาษีสุรา,สุราแช่,สุราแช่ผลไม้ที่มีส่วนผสมขององุ่นหรือไวน์องุ่น,21060.0000,2569-08-01
10,2563,ตุลาคม,ภาษีสุรา,สุราแช่,สุราแช่ผลไม้ที่มีส่วนผสมขององุ่นหรือไวน์องุ่นที่มีแรงแอลกอฮอล์ไม่เกิน 7 ดีกรี และมีขนาดบรรจุไม่เกิน 0.330 ลิตร,60032249.5800,2569-08-01
11,2563,ตุลาคม,ภาษีสุรา,สุราแช่,สุราแช่ผลไม้ที่มีส่วนผสมขององุ่นหรือไวน์องุ่นอื่นๆ,2778750.0000,2569-08-01
12,2563,ตุลาคม,ภาษีสุรา,สุราแช่,"ไวน์และสปาร์กลิ้งไวน์ที่ทำจากองุ่นที่มีราคาขายปลีกแนะนำเกินกว่า 1,000 บาท",15662537.7400,2569-08-01
13,2563,ตุลาคม,ภาษีสุรา,สุราแช่,"ไวน์และสปาร์กลิ้งไวน์ที่ทำจากองุ่นที่มีราคาขายปลีกแนะนำไม่เกิน 1,000 บาท",112673702.4300,2569-08-01
